form,speaker_status,text_type,interactivity
because,NRN,ADV,HI
because,NRN,ADV,HI
because,NRN,ADV,HI
because,NRN,ADV,HI
because,NRN,ADV,HI
since,NRN,ADV,HI
since,NS,ADV,HI
since,NS,ADV,HI
because,NS,ADV,HI
because,NS,ADV,HI
since,NS,ADV,HI
because,NS,ADV,HI
since,NS,ADV,HI
because,NS,ADV,HI
because,NS,ADV,HI
because,NS,COL,MX
because,NS,COL,MX
because,NS,COL,MX
because,NS,COL,MX
because,NS,COL,MM
because,NS,COL,MX
because,NS,COL,MX
because,NS,COL,MX
because,NS,COL,MX
because,NS,COL,MX
because,NS,COL,MX
because,NS,COL,MX
because,NS,COL,MX
since,NS,COL,MX
because,NS,COL,MX
since,NS,COL,MX
because,NS,COL,MX
because,NNS,COL,MM
because,NNS,COL,MM
because,NS,COL,MM
because,NS,COL,HM
because,NS,COL,HM
because,NS,COL,HM
because,NS,COL,HM
because,NS,COL,MM
because,NS,COL,MM
because,NS,COL,MM
because,NS,COL,MI
because,NS,COL,MI
because,NS,COL,MI
because,NS,COL,MI
because,NS,COL,MI
because,NS,COL,MI
because,NS,COL,MI
because,NS,COL,MI
because,NRN,COL,MI
because,NS,COL,MM
because,NS,COL,MM
because,NS,COL,MM
because,NS,COL,MM
because,NS,COL,MM
because,NS,COL,MM
because,NS,COL,MM
because,NSO,COL,MM
because,NSO,COL,MM
because,NSO,COL,MM
because,NS,COL,MM
because,NS,DEF,MI
since,NS,DEF,MI
since,NS,DEF,MI
because,NS,DEF,MI
because,NS,DEF,MI
because,NS,DEF,MI
because,NS,DEF,MI
because,NS,DEF,MI
because,NS,DEF,MI
because,NS,DEF,MI
because,NS,DEF,MM
since,NS,DEF,MM
because,NS,DEF,MM
since,NRN,DEF,MI
because,NRN,DEF,MI
because,NRN,DEF,MI
because,NRN,DEF,MI
because,NRN,DEF,MI
because,NRN,DEF,MI
because,NRN,DEF,MI
because,NRN,DEF,MI
because,NNS,DEF,MI
because,NRN,DEF,MI
since,NS,DEF,MI
because,NS,DEF,MI
because,NNS,DEF,MI
because,NRN,DEF,MI
because,NS,DEF,MI
because,NNS,DEF,MI
since,NS,DEF,MI
because,NS,DIS,MX
because,NS,DIS,MX
because,NS,DIS,MX
because,NS,DIS,MX
because,NS,DIS,MX
because,NS,DIS,MX
because,NS,DIS,MX
since,NS,DIS,MX
because,NS,DIS,MX
because,NS,DIS,MX
because,NS,DIS,MX
because,NS,DIS,MX
because,NS,DIS,MX
because,NS,DIS,HI
because,NS,DIS,HI
since,NS,DIS,HI
because,NS,DIS,HI
because,NS,DIS,HI
because,NS,DIS,HI
because,NS,DIS,HI
since,NS,DIS,HI
because,NS,DIS,HI
because,NS,DIS,HI
because,NS,DIS,MX
because,NS,DIS,MX
because,NS,DIS,MX
because,NNS,DIS,MX
because,NNS,DIS,MX
because,NNS,DIS,MX
because,NNS,DIS,MX
because,NNS,DIS,MX
because,NNS,DIS,MX
because,NNS,DIS,MX
because,NNS,DIS,MX
since,NNS,DIS,MX
because,NNS,DIS,MX
because,NS,DIS,MI
because,NS,DIS,MI
because,NS,DIS,MI
because,NS,DIS,MI
because,NS,DIS,MI
because,NS,DIS,MI
because,NS,DIS,MI
since,NS,DIS,MI
because,NS,DIS,MI
because,NS,DIS,MI
since,NS,DIS,MI
because,NS,DIS,MI
because,NS,DIS,MI
since,NS,DIS,MI
because,NS,DIS,MI
because,NS,DIS,HI
because,NS,DIS,HI
because,NS,DIS,HI
because,NS,DIS,HI
because,NS,DIS,HI
because,NS,DIS,HI
because,NS,DIS,HI
because,NS,DIS,HI
because,NSO,INT,HI
because,NSO,INT,HI
because,NSO,INT,HI
because,NS,INT,HI
because,NSO,INT,HI
because,NS,INT,HI
because,NSO,INT,HI
because,NS,INT,HI
because,NSO,INT,HI
because,NS,INT,HI
because,NS,INT,HI
since,NS,LAB,HI
because,NS,LAB,HI
because,NSO,LAB,HI
because,NSO,LAB,HI
because,NSO,LAB,HI
because,NSO,LAB,HI
because,NSO,LAB,HI
because,NSO,LAB,HI
because,NSO,LAB,HI
because,NSO,LAB,HI
because,NSO,LAB,HI
because,NS,LAB,HI
because,NSO,LAB,HI
because,NS,LAB,HI
because,NS,LAB,HI
because,NS,LAB,HI
because,NS,LAB,HI
because,NS,LAB,HI
since,NS,LAB,HI
because,NS,LAB,HI
because,NS,LAB,HI
because,NS,LAB,HI
because,NRN,LAB,MI
because,NRN,LAB,MI
because,NRN,LAB,MI
because,NRN,LAB,MI
because,NRN,LAB,MI
since,NRN,LAB,MI
because,NS,LAB,MI
because,NRN,LAB,MI
since,NRN,LAB,MI
since,NRN,LAB,MI
because,NS,LAB,HI
because,NS,LAB,HI
because,NS,LAB,HI
because,NS,LAB,HI
because,NS,LAB,HI
because,NS,LAB,HI
because,NS,LAB,MI
because,NS,LAB,MI
because,NS,LAB,MI
because,NS,LAB,MI
because,NS,LAB,MI
because,NS,LAB,MI
because,NS,LAB,MI
because,NS,LAB,MI
because,NS,LAB,MI
since,NS,LAB,MI
because,NS,LAB,MI
because,NS,LAB,MI
because,NS,LAB,MI
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MX
because,NS,LEL,MX
because,NS,LEL,MX
because,NS,LEL,MX
because,NS,LEL,MX
because,NS,LEL,MX
because,NS,LEL,MX
because,NS,LEL,MX
because,NS,LEL,MX
because,NS,LEL,MX
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MX
because,NS,LEL,MX
because,NS,LEL,MX
because,NS,LEL,MX
because,NS,LEL,MX
because,NS,LEL,MX
because,NS,LEL,MX
because,NS,LEL,MX
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,HM
because,NS,LEL,MI
because,NS,LEL,MI
because,NS,LEL,MI
because,NS,LEL,MI
because,NS,LEL,MI
since,NS,LEL,MI
because,NS,LEL,MI
because,NS,LEL,MI
because,NS,LEL,MI
because,NS,LEL,MI
because,NS,LEL,MX
since,NS,LEL,MX
since,NS,LEL,MX
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
since,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NNS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MM
because,NS,LEL,MX
because,NS,LEL,MX
since,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,HM
because,NS,LEL,HM
because,NRN,LEL,MX
since,NRN,LEL,MX
because,NS,LEL,MX
because,NRN,LEL,MX
because,NRN,LEL,MI
because,NRN,LEL,MI
because,NRN,LEL,MI
because,NRN,LEL,MI
because,NS,LEL,MI
because,NS,LEL,MI
since,NS,LEL,MI
because,NS,LEL,MI
because,NS,LEL,MI
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NSO,LES,MM
because,NSO,LES,MM
because,NSO,LES,MM
because,NSO,LES,MM
because,NSO,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
since,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NNS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NNS,LES,MM
because,NS,LES,MM
because,NNS,LES,MM
because,NNS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MX
because,NNS,LES,MX
because,NNS,LES,MX
because,NNS,LES,MX
because,NNS,LES,MX
because,NNS,LES,MX
because,NNS,LES,MX
because,NS,LES,MX
because,NNS,LES,MX
because,NNS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
since,NRN,LES,MM
since,NRN,LES,MM
because,NRN,LES,MM
because,NRN,LES,MM
because,NS,LES,MI
because,NS,LES,MI
because,NS,LES,MI
because,NS,LES,MI
because,NS,LES,MI
because,NS,LES,MI
because,NS,LES,MI
because,NS,LES,MI
because,NS,LES,MI
because,NS,LES,MI
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
since,NS,LES,HI
because,NNS,LES,HI
because,NNS,LES,HI
because,NNS,LES,HI
because,NNS,LES,HI
because,NNS,LES,HI
because,NS,LES,HM
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MI
because,NS,LES,MI
because,NS,LES,MI
because,NS,LES,MI
because,NS,LES,MI
because,NS,LES,MI
since,NS,LES,MI
because,NS,LES,MI
because,NS,LES,MI
because,NS,LES,MI
because,NRN,LES,HM
because,NRN,LES,HM
because,NRN,LES,HM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
since,NS,LES,MM
because,NNS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,MM
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,HI
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,LES,MX
because,NS,MTG,MI
because,NS,MTG,MI
because,NS,MTG,MI
because,NS,MTG,MI
since,NS,MTG,MI
because,NS,MTG,MI
because,NS,MTG,MI
since,NS,MTG,MI
because,NS,MTG,MI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
since,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
since,NS,MTG,HI
since,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,HI
because,NS,MTG,MI
because,NS,MTG,MI
because,NS,MTG,MI
because,NS,MTG,MI
because,NS,MTG,MI
because,NS,MTG,MI
because,NS,MTG,MI
because,NS,MTG,MI
because,NS,MTG,MI
because,NS,MTG,MI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
since,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
since,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NRN,OFC,HI
because,NRN,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NRN,OFC,HI
since,NRN,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NRN,OFC,HI
because,NRN,OFC,HI
because,NRN,OFC,HI
because,NRN,OFC,HI
because,NS,OFC,HI
because,NRN,OFC,HI
because,NRN,OFC,HI
because,NRN,OFC,HI
because,NRN,OFC,HI
because,NRN,OFC,HI
because,NS,OFC,HI
since,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NNS,OFC,HI
because,NNS,OFC,HI
because,NNS,OFC,HI
because,NS,OFC,HI
because,NNS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
since,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,MI
because,NS,OFC,MI
because,NS,OFC,MI
because,NS,OFC,MI
because,NS,OFC,MI
because,NS,OFC,MI
because,NS,OFC,MI
because,NS,OFC,MI
because,NS,OFC,MI
because,NS,OFC,MI
because,NS,OFC,MI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
since,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NS,OFC,HI
because,NRN,SEM,MI
because,NRN,SEM,MI
since,NNS,SEM,MI
because,NRN,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NRN,SEM,MI
because,NS,SEM,MI
because,NRN,SEM,MI
because,NS,SEM,HI
because,NS,SEM,HI
because,NS,SEM,HI
because,NS,SEM,HI
because,NS,SEM,HI
because,NS,SEM,HI
because,NS,SEM,HI
because,NS,SEM,HI
because,NS,SEM,HI
because,NS,SEM,HI
because,NS,SEM,MX
because,NS,SEM,MX
because,NS,SEM,MX
because,NS,SEM,MX
because,NS,SEM,MX
because,NS,SEM,MX
because,NS,SEM,MX
since,NS,SEM,MX
because,NS,SEM,HI
since,NRN,SEM,HI
because,NS,SEM,HI
because,NRN,SEM,HI
because,NS,SEM,HI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
since,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SEM,MI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
since,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
since,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
since,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
since,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
because,NS,SGR,HI
since,NS,SGR,HI
because,NS,STP,MI
because,NS,STP,MI
because,NS,STP,MI
because,NS,STP,MI
because,NS,STP,MI
because,NS,STP,MI
because,NS,STP,MI
because,NS,STP,HI
because,NS,STP,HI
because,NS,STP,HI
since,NS,STP,HI
because,NS,STP,HI
because,NS,STP,HI
because,NS,STP,HI
because,NS,STP,HI
because,NS,STP,HI
because,NS,STP,HI
because,NS,STP,MX
because,NS,STP,MX
since,NS,STP,MX
since,NS,STP,MX
since,NS,STP,MX
since,NS,STP,MX
because,NRN,STP,MX
since,NRN,STP,MX
because,NRN,STP,MX
since,NS,STP,HI
because,NNS,STP,HI
because,NS,STP,HI
because,NS,STP,HI
since,NS,STP,HI
since,NS,STP,HI
because,NS,STP,HI
because,NS,STP,HI
because,NS,STP,HI
because,NS,STP,HI
because,NS,STP,MM
because,NS,STP,MM
because,NS,STP,MM
because,NS,STP,MM
because,NS,STP,MM
because,NS,STP,MM
because,NS,STP,MM
because,NS,STP,MM
because,NS,STP,MM
since,NS,STP,MI
because,NS,STP,MI
because,NRN,STP,MI
because,NNS,STP,MI
because,NRN,STP,MI
because,NRN,STP,MI
because,NRN,STP,MI
because,NRN,STP,MI
because,NRN,STP,MI
because,NNS,STP,MX
because,NS,STP,MX
because,NS,STP,MX
because,NS,STP,MX
because,NS,STP,MX
because,NS,STP,MX
because,NS,STP,MX
because,NNS,STP,MX
because,NS,STP,MX
because,NNS,STP,MX
because,NS,STP,MI
because,NS,STP,MI
because,NS,STP,MI
because,NS,STP,MI
because,NNS,STP,MI
because,NNS,STP,MI
because,NNS,STP,MI
because,NNS,STP,MI
because,NNS,STP,MI
because,NNS,STP,MI
since,NNS,STP,MI
since,NNS,STP,MI
because,NS,STP,MI
because,NS,STP,MI
because,NNS,STP,MI
because,NNS,STP,MI
because,NNS,STP,MI
since,NS,STP,MI
since,NS,STP,MI
because,NS,STP,MI
because,NS,STP,MI
because,NS,STP,MI
because,NS,STP,MI
because,NS,STP,MI
because,NS,STP,MI
because,NS,STP,MI
because,NS,STP,MI
because,NS,SVC,HI
because,NS,SVC,HI
because,NS,SVC,HI
because,NS,TOU,MI
because,NS,TOU,MI
because,NS,TOU,MI
because,NS,TOU,MI
because,NS,TOU,MI
because,NS,TOU,MI
because,NS,TOU,MI
because,NS,TOU,MI
because,NS,TOU,MI
since,NS,TOU,MX
because,NS,TOU,MX
because,NS,TOU,MX
because,NS,TOU,MX
because,NS,TOU,MX
because,NNS,TOU,MX
because,NNS,TOU,MX
because,NS,TOU,MX
because,NS,TOU,MX
